sentence1,sentence2,score
6.1-magnitude quake strikes Indonesia,"6.1-magnitude quake hits Papua, Indonesia -- USGS",0.84
2 Americans Killed as Afghan Unrest Enters Fifth Day,Two American Officers Murdered As Afghan Unrest Continues,0.84
Officials: Romney to get Secret Service protection,Obama addresses Secret Service scandal,0.12
Japan PM calls for quicker tsunami waste processing,Japan marks one year since quake and tsunami disaster,0.2
Syrian fighter pilot defects to Jordan,Syrian PM defects to Jordan,0.28
Syrian Arab Republic (the): Syrian Arab Republic: Syrian Refugees (as of 28 June 2012),Syrian Arab Republic (the): More than 70 killed in Syria ahead of Annan return,0.24
Suicide bomber kills 16 in Afghanistan,Suicide bomber kills 12 in Nigeria church,0.24
Airlines cancel 'flytilla' activists' tickets to TA,UK Airline Cancels 'Flytilla' Tickets on Israel Objections,0.64
Spain asks for bank rescue,Spaniard on trial for Cuban dissident’s death,0.04
The murky waters of the South China Sea,Peace lies over the South China Sea,0.28
Sri Lanka seek one-day revival against Pakistan,Senior journalist killed in Pakistan,0.12
"SpaceX docks with International Space Station: Up next, public travel?",SpaceX Dragon Docks With International Space Station,0.76
'Million Muppet March' to defend Obama backing of PBS,Million Muppet March planned to defend U.S. backing for PBS,0.8
Syrian opposition in reconciliation talks,Syrian Opposition Council to Establish Envoy in France,0.28
Sensex down 193 points on budget blues,Romney won't volunteer budget differences,0.2
Facebook boosts size of IPO by 25pc to raise $15bn,Facebook boosts size of IPO by 25 percent,0.72
Iran's Parliament Questions A Dismissive Ahmadinejad,Iran's parliament questions President Ahmadinejad,0.8
Yemen suicide attack kills 7 soldiers: officials,Afghan suicide car bomb kills at least seven: officials,0.32
Presidential vote polarises Egyptians,GOP presidential hopefuls clash in Southern races,0.16
Three more US soldiers killed in Afghanistan,NATO Soldier Killed in Afghanistan,0.36
Police raise death toll in bus accident to 8,Rodney King death ruled accidental,0.08
Four foreign soldiers killed in Afghan east,2 British soldiers killed in Afghan insider attack,0.16
Red Cross worker killed in Pakistan,British Red Cross doctor kidnapped in Pakistan found beheaded,0.72
"Afghan, US govts sign deal on controversial night raid","Afghans, US sign deal on night raids",0.76
China mine accident kills 10,China truck accident kills 20,0.32
Australia can eclipse England in Windies,Australian PM defiant under pressure over leadership,0.08
Protests at Pussy Riot verdict,Pussy Riot verdict greeted with defiance,0.68
Secret Service sees its 'biggest scandal' over prostitutes,Secret Service sex scandal 'regret',0.44
Kuwait: Activists storm Syrian embassy; two injured,Activists storm Syria embassy in Kuwait,0.68
Details of Aung San Suu Kyi's visit to Ireland,Rapturous welcome for Aung San Suu Kyi's historic trip,0.68
Key says marae visit a lost opportunity,Key wants Waitangi marae visit to stay,0.44
Norway marks anniversary of massacre,Norway Marks Anniversary of Breivik's Massacre,0.76
Woman killed by falling debris,When an ally declines,0.0
Aust shares up 1% after interest rate cut,RBA delivers another rate cut,0.2
Germany warns Greece: No more money without reforms,Euro zone to Greece: No rescue without reforms,0.52
Obama to meet families of shooting victims,Obama to meet Batman gun victims,0.64
Obama widens lead over Romney despite jobs data: Reuters/Ipsos poll,"Romney takes lead over Obama with convention ""bounce"": Reuters/Ipsos poll",0.2
"Two killed, 19 injured in Toronto shooting","Two dead, 7 injured in Finland shooting",0.28
What the Pope's butler saw – aide arrested over Vatican leaks,Pope’s butler arrested in scandal over Vatican leaks,0.68
Anti-Putin protesters form human chain in Moscow,Anti-Putin protesters form human chain,0.76
Washington's Acts of Congress sells for $9.8M,George Washington's copy of US Constitution sells for $9.8m,0.52
Lakers Fire Coach Mike Brown After 1-4 Start,Lakers fire Mike Brown after 1-4 start,0.88
Canadian Muslims issue fatwa against 'honor killing',"US, Canadian imams issue fatwa against honour killings",0.68
U.N. to take up Syria resolution,UN Assembly to Vote on Syria Resolution,0.72
Soldier 'can't recall' massacre,US soldier ‘doesn’t recall massacre’,0.88
Libya PM names new cabinet after protests over original,"Libyan assembly rejects new cabinet, dismisses PM",0.24
4 foreign soldiers killed in Afghan east,4 French Soldiers Reported Killed in Afghanistan,0.76
Syrian forces storm central town,"Syrian forces bombard Homs, Russia warns of civil war",0.5
Pak: 20 dead in anti-Islam film protests,"25 injured in anti-Islam film protest in Islamabad, Pakistan",0.44
Cause of Whitney Houston's death could take weeks,Investigators seek answers to Whitney Houston's death,0.36
N Korea warns of retaliation for South Korea drill,North warns of retaliation for Seoul's naval drill plan,0.72
A Tale of Two Passes: How The New York Giants Won The Super Bowl,Lesser of two evils triumphs in Super Bowl,0.28
One dead in new Israeli strike on Gaza,Two killed in new Israeli strike on Gaza: medics,0.72
Germany Likely to Press Russia on Syrian Crisis,What is Russia thinking on Syria? A brief guide,0.2
Four seriously injured in M23 motorway crash,Four injured in motorway crash,0.72
UN aid chief Amos enters Baba Amr with Red Crescent,"Syria's besieged Baba Amr is deserted, Red Cross says",0.4
Dozens killed in Nigerian riots,Dozens killed in Kenyan clashes,0.2
Profiles of Egypt's main presidential candidates,Second day of Egyptian presidential election,0.24
Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,0.88
British gold rush silences gripes over cost,2 British soldiers killed in Afghan insider attack,0.12
Avalanche buries at least 100 Pakistani soldiers,Avalanche buries over 100 Pakistani soldiers,0.92
Inflation falls to 15-month low: what the analysts say,Inflation falls to 15-month low,0.92
Komen won't cut Planned Parenthood funding,Susan G Komen in U-turn over Planned Parenthood funding cut,0.6
Forex &amp; Gold 25 August 2012,Forex & Gold 19 July 2012,0.44
Iran says UN nuclear talks will continue,Iran says nuclear talks with UN 'constructive',0.56
Agribusiness: Mad cow disease found in California,USDA Confirms Case of Mad Cow Disease in California,0.84
BP sells some Gulf of Mexico assets for $5.55 bil,BP sells Gulf of Mexico assets to Plains for $5.55 bn,0.72
300 potential Jimmy Savile victims: police,UK: 300 potential Savile abuse victims emerge,0.72
Armstrong steps down from Livestrong,Armstrong standing down from Livestrong,0.92
US drone strike kills 5 militants in Pakistan,U.S. drone strikes kill 16 suspected militants in Yemen,0.36
Syrian govt wont stop attacks,Syrian opposition reports 'massacre',0.2
Chinese stocks close higher midday Friday,Chinese stocks higher at midday Friday,0.92
Myanmar: Opposition claims Suu Kyi win,Voters in Myanmar hopeful as Suu Kyi's party claims win,0.64
Obama's poll rating drops in boost for Republican rivals,Obama's big Hispanic win worries Republicans,0.2
Two Aust soldiers wounded in Afghanistan,4 foreign soldiers killed in Afghan east,0.24
New Syria opposition chief wants no-strings aid,Syria opposition unites as Israel fires warning shots,0.2
South Africa mine clash kills at least 30,South Africa train crash kills 26,0.16
"Syrian forces bombard Homs, Russia warns of civil war","Syrian forces bombard Homs, Lavrov arrives for talks",0.52
Egypt presidential election results delayed,Egyptian election result delayed,0.84
Deadline passes with no new Iran sanctions,EU Moves Closer to New Iran Sanctions,0.32
Arrested Russian killer denies ties to Pussy Riot,Dozens arrested in Russian TV tower protest,0.16
Norway memorial honours 77 massacre victims,Norway marks anniversary of massacre,0.56
US Afghanistan general linked to Petraeus scandal,Senior US general linked to Petraeus scandal,0.76
Chinese stocks fall after RRR cut - May 14,Chinese stocks gain at midday Monday,0.4
"NKorea makes ""significant"" nuclear reactor progress - IAEA",N. Korea vows to expand nuclear deterrent,0.56
"Maldives president quits after police mutiny, protests",Maldives president quits after weeks of protest,0.68
NATO strike 'kills civilians' in Afghanistan,Two NATO soldiers killed in Afghanistan,0.16
Al-Qaida says it captures 70 Yemeni soldiers in Abyan's battle,"Al Qaeda clashes, blasts kill 35 soldiers in Yemen",0.28
"Navy jet crashes into US apartments, pilots eject",U.S. Navy Jet Crashes Into Virginia Apartment Buildings,0.68
China stocks open higher Wednesday,US stocks open higher despite GDP miss,0.16
IDF to deploy Iron Dome in Central Israel,Major snowstorm barrels down on Central Plains,0.0
4 Killed in US Drone Strike in Pakistan,U.S. Drone Strike Kills 3 in Pakistan,0.6
US teen held in Chicago 'jihad' car bomb plot,Chicago teen arrested in Chicago car bomb plot,0.68
PC David Rathband: twin brother's fears for his 'bestest mate',David Miliband: my brother and a return to old Labour,0.04
Syrian forces move to retake Aleppo,Syrian Regime Bids To Retake City Of Aleppo,0.88
"20-member parliamentary, trade team leaves for India",Commerce secretary to take leave of absence,0.0
Wall Street Opens Lower,Wall Street Ends Mixed,0.4
Europe shares bounce as more China stimulus seen,Oil prices rise on hopes for stimulus,0.16
Stock index futures point to lower start,Stock index futures signal early losses,0.88
Man charged after MP hurt in attack,Man charged with murder in flat,0.28
Nokia apologises for 'faked' ad,US waives riders for Pak aid,0.0
US drone strike kills 5 militants in Pakistan,Drone strike kills four suspected militants in Pakistan,0.6
Syria rebels leave besieged Homs,Syrian rebels retreat from besieged Homs district,0.88
"U.S. orders non-essential staff to leave Sudan, Tunisia","US orders non-essential staff to leave Tunisia, Sudan",0.8
Egypt's Mubarak critical,Egypt's Mubarak in critical condition,0.92
Assad says mercenaries are behind Syria unrest,Assad Accuses US of Fueling Syrian Uprising,0.67
Japan PM dissolves lower house for election,Iran and world powers set for nuclear talks,0.0
Two killed in new Israeli strike on Gaza: medics,"5 die in strikes on Gaza, militants barrage Israel",0.4
"Navy jet crashes into Virginia buildings, injuring six","Navy jet crashes into Virginia apartments,9 hurt",0.64
One NATO soldier killed in S. Afghanistan,British soldier killed in southern Afghanistan,0.64
Spain jobless rate hits new high,Spain's jobless claims hit new high,0.84
Turkey scrambles jets near border,Turkey scrambles jets to Syrian border,0.72
Two die in Syria violence after UN monitors land,Two year doping ban for Contador,0.0
"Civilian, defector killed in Syria, says NGO",Syria gunmen kill three Syrian officers: NGO,0.2
Taiwan rattled by strong earthquake,China rocked by twin earthquakes,0.24
Bank of England's Paul Tucker tainted by Libor mess,Bank of England deputy denies ordering rate-rigging,0.56
Red Cross says negotiating halt to fighting in Syria to take aid,Red Cross negotiating Syria ceasefire to bring aid,0.88
Syrian forces shoot civilians on bus,"Syrian forces, rebels clash near Turkey",0.16
German parliament overwhelmingly backs Greek rescue deal,German parliament endorses Greek bailout,0.88
"Bombings, clashes continue in Syria","Bombings, clashes as Syria opposition seeks arms",0.68
Burma's reforms bring easing of U.S. sanctions,Burma activists say go slow on easing sanctions,0.48
Usain Bolt wins 200m – Steven Howard reaction,Facebook mobile gains drive revenue growth: reaction,0.04
Dozens dead in Taliban resort attack,'India police name 3 Iranians in embassy attack',0.08
Heavy fighting rocks eastern Syria ahead of poll,Heavy fighting rocks eastern Syria - residents,0.76
China yuan weakens to 6.3282 against USD Monday,China yuan retreats to 6.2697 against USD Thursday,0.56
7 dead in Christian school shooting,5 wounded in Ohio school shooting,0.28
Indonesia anti-terror squad kills two suspected militants,Indonesia police shoot dead suspected militants in Bali,0.64
US Election: Mitt Romney concedes defeat as Barack Obama wins second term,Romney concedes election to Obama in phone call,0.8
Armenians vote in parliamentary elections,Armenia's parliamentary vote a test for president,0.64
Sachin Tendulkar is sworn in as Indian senator,MP Sachin Tendulkar says no to govt bungalow,0.32
Navy Jet Crashes Into Apartment Building,U.S. Navy Jet Crashes Into Virginia Apartment Buildings,0.72
